symptoms,disease
"blurred_and_distorted_vision, irritability, headache, visual_disturbances, stiff_neck, depression, excessive_hunger, indigestion, acidity",Migraine
"excessive_hunger, acidity, stiff_neck, visual_disturbances, indigestion, headache, blurred_and_distorted_vision, irritability, depression",Migraine
"cramps, fatigue, obesity, bruising, prominent_veins_on_calf, swollen_legs, swollen_blood_vessels",Varicose veins
"fatigue, prominent_veins_on_calf, swollen_blood_vessels, swollen_legs, obesity, cramps, bruising",Varicose veins
"swollen_legs, swollen_blood_vessels, cramps, obesity, bruising, fatigue, prominent_veins_on_calf",Varicose veins
"fatigue, loss_of_appetite, vomiting, yellowing_of_eyes, nausea, dark_urine, joint_pain, abdominal_pain, yellowish_skin",Hepatitis D
"vomiting, joint_pain, yellowish_skin, abdominal_pain, yellowing_of_eyes, dark_urine, nausea, fatigue, loss_of_appetite",Hepatitis D
"nausea, dark_urine, yellowing_of_eyes, fatigue, yellowish_skin, joint_pain, abdominal_pain, vomiting, loss_of_appetite",Hepatitis D
"mood_swings, weight_loss, muscle_weakness, excessive_hunger, irritability, fatigue, diarrhoea, fast_heart_rate, abnormal_menstruation, restlessness, sweating",Hyperthyroidism
"fast_heart_rate, irritability, weight_loss, mood_swings, restlessness, abnormal_menstruation, diarrhoea, fatigue, excessive_hunger, sweating, muscle_weakness",Hyperthyroidism
"fast_heart_rate, irritability, diarrhoea, muscle_weakness, abnormal_menstruation, weight_loss, sweating, excessive_hunger, restlessness, fatigue, mood_swings",Hyperthyroidism
"itching, dischromic _patches, skin_rash, nodal_skin_eruptions",Fungal infection
"skin_rash, itching, nodal_skin_eruptions, dischromic _patches",Fungal infection
"skin_rash, nodal_skin_eruptions, itching, dischromic _patches",Fungal infection
"foul_smell_of urine, bladder_discomfort, burning_micturition, continuous_feel_of_urine",Urinary tract infection
"burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine",Urinary tract infection
"bladder_discomfort, burning_micturition, foul_smell_of urine, continuous_feel_of_urine",Urinary tract infection
"pus_filled_pimples, blackheads, scurring, skin_rash",Acne
"scurring, skin_rash, pus_filled_pimples, blackheads",Acne
"skin_rash, blackheads, pus_filled_pimples, scurring",Acne
"vomiting, fatigue, abdominal_pain, high_fever, loss_of_appetite, joint_pain, coma, acute_liver_failure, yellowing_of_eyes, nausea, yellowish_skin, dark_urine, stomach_bleeding",Hepatitis E
"dark_urine, loss_of_appetite, fatigue, stomach_bleeding, yellowing_of_eyes, nausea, abdominal_pain, acute_liver_failure, yellowish_skin, high_fever, joint_pain, vomiting, coma",Hepatitis E
"yellowing_of_eyes, dark_urine, vomiting, stomach_bleeding, yellowish_skin, high_fever, nausea, coma, abdominal_pain, fatigue, acute_liver_failure, joint_pain, loss_of_appetite",Hepatitis E
"extra_marital_contacts, high_fever, muscle_wasting, patches_in_throat",AIDS
"patches_in_throat, high_fever, extra_marital_contacts, muscle_wasting",AIDS
"extra_marital_contacts, patches_in_throat, muscle_wasting, high_fever",AIDS
"distention_of_abdomen, fluid_overload, history_of_alcohol_consumption, yellowish_skin, vomiting, abdominal_pain",Alcoholic hepatitis
"yellowish_skin, fluid_overload, abdominal_pain, history_of_alcohol_consumption, vomiting, distention_of_abdomen",Alcoholic hepatitis
"vomiting, history_of_alcohol_consumption, fluid_overload, yellowish_skin, distention_of_abdomen, abdominal_pain",Alcoholic hepatitis
"mucoid_sputum, family_history, breathlessness, cough, fatigue",Bronchial Asthma
"cough, mucoid_sputum, fatigue, family_history, breathlessness",Bronchial Asthma
"breathlessness, fatigue, family_history, cough, mucoid_sputum",Bronchial Asthma
"mild_fever, sweating, loss_of_appetite, phlegm, swelled_lymph_nodes, yellowing_of_eyes, chest_pain, weight_loss, chills, fatigue, malaise, cough, breathlessness, blood_in_sputum, vomiting, high_fever",Tuberculosis
"mild_fever, swelled_lymph_nodes, breathlessness, loss_of_appetite, weight_loss, yellowing_of_eyes, high_fever, blood_in_sputum, cough, chest_pain, vomiting, malaise, sweating, fatigue, chills, phlegm",Tuberculosis
"mild_fever, vomiting, phlegm, cough, yellowing_of_eyes, malaise, swelled_lymph_nodes, sweating, high_fever, chest_pain, weight_loss, fatigue, chills, breathlessness, blood_in_sputum, loss_of_appetite",Tuberculosis
"malaise, receiving_unsterile_injections, loss_of_appetite, yellowing_of_eyes, itching, receiving_blood_transfusion, fatigue, lethargy, abdominal_pain, yellowish_skin, dark_urine, yellow_urine",Hepatitis B
"lethargy, abdominal_pain, itching, loss_of_appetite, malaise, yellow_urine, yellowing_of_eyes, dark_urine, yellowish_skin, receiving_unsterile_injections, fatigue, receiving_blood_transfusion",Hepatitis B
"fatigue, loss_of_appetite, itching, receiving_unsterile_injections, yellow_urine, dark_urine, malaise, yellowing_of_eyes, receiving_blood_transfusion, yellowish_skin, lethargy, abdominal_pain",Hepatitis B
"diarrhoea, headache, nausea, vomiting, muscle_pain, sweating, high_fever",Malaria
"diarrhoea, vomiting, muscle_pain, high_fever, headache, sweating, nausea",Malaria
"headache, diarrhoea, vomiting, high_fever, muscle_pain, nausea, sweating",Malaria
"fatigue, mucoid_sputum, high_fever, breathlessness, cough, family_history",Bronchial Asthma
"family_history, cough, fatigue, breathlessness, high_fever, mucoid_sputum",Bronchial Asthma
"cough, family_history, high_fever, fatigue, mucoid_sputum, breathlessness",Bronchial Asthma
"vomiting, spinning_movements, nausea, unsteadiness, loss_of_balance, headache",(vertigo) Paroymsal Positional Vertigo
"spinning_movements, vomiting, nausea, loss_of_balance, headache, unsteadiness",(vertigo) Paroymsal Positional Vertigo
"nausea, headache, spinning_movements, loss_of_balance, unsteadiness, vomiting",(vertigo) Paroymsal Positional Vertigo
"nodal_skin_eruptions, dischromic _patches, skin_rash",Fungal infection
"dischromic _patches, skin_rash, nodal_skin_eruptions",Fungal infection
"skin_rash, dischromic _patches, nodal_skin_eruptions",Fungal infection
"diarrhoea, sunken_eyes, dehydration, vomiting",Gastroenteritis
"diarrhoea, vomiting, dehydration, sunken_eyes",Gastroenteritis
"vomiting, dehydration, diarrhoea, sunken_eyes",Gastroenteritis
"malaise, fatigue, itching, receiving_blood_transfusion, abdominal_pain, yellowing_of_eyes, dark_urine, yellowish_skin, yellow_urine, receiving_unsterile_injections, lethargy, loss_of_appetite",Hepatitis B
"receiving_blood_transfusion, fatigue, yellow_urine, abdominal_pain, lethargy, yellowish_skin, loss_of_appetite, receiving_unsterile_injections, yellowing_of_eyes, itching, malaise, dark_urine",Hepatitis B
"abdominal_pain, loss_of_appetite, malaise, dark_urine, itching, receiving_unsterile_injections, receiving_blood_transfusion, yellow_urine, yellowish_skin, yellowing_of_eyes, fatigue, lethargy",Hepatitis B
"loss_of_appetite, dark_urine, fatigue, itching, malaise, receiving_blood_transfusion, yellowing_of_eyes, yellow_urine, receiving_unsterile_injections, abdominal_pain, yellowish_skin",Hepatitis B
"receiving_unsterile_injections, itching, dark_urine, abdominal_pain, yellowish_skin, malaise, fatigue, yellowing_of_eyes, receiving_blood_transfusion, yellow_urine, loss_of_appetite",Hepatitis B
"dark_urine, abdominal_pain, receiving_blood_transfusion, yellowing_of_eyes, yellow_urine, loss_of_appetite, malaise, receiving_unsterile_injections, itching, yellowish_skin, fatigue",Hepatitis B
"foul_smell_of urine, bladder_discomfort, continuous_feel_of_urine, burning_micturition",Urinary tract infection
"bladder_discomfort, foul_smell_of urine, burning_micturition, continuous_feel_of_urine",Urinary tract infection
"burning_micturition, continuous_feel_of_urine, foul_smell_of urine, bladder_discomfort",Urinary tract infection
"headache, palpitations, nausea, sweating, excessive_hunger, blurred_and_distorted_vision, vomiting, drying_and_tingling_lips, slurred_speech, fatigue, anxiety, irritability",Hypoglycemia
"sweating, vomiting, excessive_hunger, anxiety, slurred_speech, drying_and_tingling_lips, nausea, palpitations, blurred_and_distorted_vision, headache, irritability, fatigue",Hypoglycemia
"nausea, palpitations, fatigue, blurred_and_distorted_vision, headache, drying_and_tingling_lips, excessive_hunger, anxiety, vomiting, irritability, sweating, slurred_speech",Hypoglycemia
"pus_filled_pimples, skin_rash, blackheads, scurring",Acne
"scurring, blackheads, pus_filled_pimples, skin_rash",Acne
"pus_filled_pimples, scurring, skin_rash, blackheads",Acne
"skin_rash, blackheads, scurring",Acne
"blackheads, scurring, skin_rash",Acne
"scurring, skin_rash, blackheads",Acne
"high_fever, diarrhoea, sweating, muscle_pain, vomiting, nausea, chills, headache",Malaria
"chills, sweating, headache, vomiting, high_fever, muscle_pain, diarrhoea, nausea",Malaria
"high_fever, diarrhoea, chills, vomiting, sweating, nausea, headache, muscle_pain",Malaria
"fatigue, yellowing_of_eyes, family_history, loss_of_appetite, nausea",Hepatitis C
"fatigue, nausea, yellowing_of_eyes, family_history, loss_of_appetite",Hepatitis C
"nausea, loss_of_appetite, family_history, fatigue, yellowing_of_eyes",Hepatitis C
"enlarged_thyroid, irritability, abnormal_menstruation, fatigue, brittle_nails, swollen_extremeties, cold_hands_and_feets, depression, puffy_face_and_eyes, weight_gain, dizziness, lethargy",Hypothyroidism
"depression, enlarged_thyroid, fatigue, cold_hands_and_feets, lethargy, swollen_extremeties, irritability, weight_gain, dizziness, puffy_face_and_eyes, abnormal_menstruation, brittle_nails",Hypothyroidism
"lethargy, brittle_nails, enlarged_thyroid, irritability, swollen_extremeties, depression, weight_gain, fatigue, cold_hands_and_feets, abnormal_menstruation, dizziness, puffy_face_and_eyes",Hypothyroidism
"skin_rash, dischromic _patches, nodal_skin_eruptions, itching",Fungal infection
"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",Fungal infection
"nodal_skin_eruptions, dischromic _patches, skin_rash, itching",Fungal infection
"small_dents_in_nails, inflammatory_nails, skin_rash, joint_pain, skin_peeling, silver_like_dusting",Psoriasis
"inflammatory_nails, joint_pain, skin_rash, skin_peeling, small_dents_in_nails, silver_like_dusting",Psoriasis
"skin_peeling, skin_rash, inflammatory_nails, small_dents_in_nails, joint_pain, silver_like_dusting",Psoriasis
"pain_during_bowel_movements, pain_in_anal_region, constipation, bloody_stool, irritation_in_anus",Dimorphic hemmorhoids(piles)
"pain_in_anal_region, pain_during_bowel_movements, bloody_stool, irritation_in_anus, constipation",Dimorphic hemmorhoids(piles)
"pain_during_bowel_movements, constipation, bloody_stool, pain_in_anal_region, irritation_in_anus",Dimorphic hemmorhoids(piles)
"vomiting, acidity, cough, chest_pain, ulcers_on_tongue",GERD
"cough, chest_pain, vomiting, ulcers_on_tongue, acidity",GERD
"acidity, vomiting, cough, chest_pain, ulcers_on_tongue",GERD
"weight_loss, lethargy, irregular_sugar_level, excessive_hunger, polyuria, increased_appetite, blurred_and_distorted_vision, restlessness, obesity, fatigue",Diabetes
"obesity, polyuria, weight_loss, increased_appetite, excessive_hunger, restlessness, irregular_sugar_level, fatigue, lethargy, blurred_and_distorted_vision",Diabetes
"fatigue, lethargy, blurred_and_distorted_vision, excessive_hunger, polyuria, weight_loss, increased_appetite, obesity, restlessness, irregular_sugar_level",Diabetes
"vomiting, muscle_pain, abdominal_pain, nausea, joint_pain, loss_of_appetite, mild_fever, yellowing_of_eyes, dark_urine, yellowish_skin",hepatitis A
"joint_pain, yellowing_of_eyes, dark_urine, abdominal_pain, yellowish_skin, mild_fever, loss_of_appetite, nausea, vomiting, muscle_pain",hepatitis A
"muscle_pain, loss_of_appetite, abdominal_pain, yellowing_of_eyes, joint_pain, dark_urine, nausea, mild_fever, yellowish_skin, vomiting",hepatitis A
"back_pain, weakness_in_limbs, loss_of_balance, dizziness, neck_pain",Cervical spondylosis
"back_pain, weakness_in_limbs, dizziness, neck_pain, loss_of_balance",Cervical spondylosis
"back_pain, loss_of_balance, neck_pain, weakness_in_limbs, dizziness",Cervical spondylosis
"abdominal_pain, fatigue, yellowish_skin, weight_loss, itching, high_fever, vomiting",Jaundice
"high_fever, vomiting, abdominal_pain, itching, fatigue, weight_loss, yellowish_skin",Jaundice
"yellowish_skin, weight_loss, itching, vomiting, fatigue, high_fever, abdominal_pain",Jaundice
"headache, nausea, abdominal_pain, constipation, fatigue, diarrhoea, toxic_look_(typhos), chills, belly_pain, high_fever",Typhoid
"fatigue, chills, constipation, abdominal_pain, diarrhoea, high_fever, toxic_look_(typhos), nausea, belly_pain, headache",Typhoid
"constipation, high_fever, toxic_look_(typhos), headache, chills, diarrhoea, belly_pain, fatigue, nausea, abdominal_pain",Typhoid
"continuous_feel_of_urine, bladder_discomfort, burning_micturition, foul_smell_of urine",Urinary tract infection
"burning_micturition, foul_smell_of urine, continuous_feel_of_urine, bladder_discomfort",Urinary tract infection
"continuous_feel_of_urine, bladder_discomfort, foul_smell_of urine, burning_micturition",Urinary tract infection
"continuous_sneezing, chills, shivering",Allergy
"chills, continuous_sneezing, shivering",Allergy
"shivering, chills, continuous_sneezing",Allergy
"continuous_sneezing, shivering, chills",Allergy
"chills, shivering, continuous_sneezing",Allergy
"shivering, chills, continuous_sneezing",Allergy
"fatigue, high_fever, pain_behind_the_eyes, red_spots_over_body, joint_pain, back_pain, malaise, chills, nausea, skin_rash, muscle_pain, vomiting, loss_of_appetite, headache",Dengue
"malaise, joint_pain, muscle_pain, high_fever, back_pain, red_spots_over_body, vomiting, loss_of_appetite, headache, pain_behind_the_eyes, nausea, fatigue, skin_rash, chills",Dengue
"nausea, headache, skin_rash, chills, malaise, vomiting, pain_behind_the_eyes, loss_of_appetite, high_fever, joint_pain, red_spots_over_body, fatigue, muscle_pain, back_pain",Dengue
"muscle_pain, mild_fever, diarrhoea, dark_urine, vomiting, yellowing_of_eyes, joint_pain, yellowish_skin, loss_of_appetite, nausea, abdominal_pain",hepatitis A
"abdominal_pain, diarrhoea, joint_pain, mild_fever, muscle_pain, dark_urine, loss_of_appetite, yellowing_of_eyes, yellowish_skin, vomiting, nausea",hepatitis A
"muscle_pain, loss_of_appetite, diarrhoea, yellowing_of_eyes, abdominal_pain, dark_urine, yellowish_skin, vomiting, joint_pain, mild_fever, nausea",hepatitis A
"toxic_look_(typhos), nausea, belly_pain, high_fever, diarrhoea, headache, fatigue, chills, abdominal_pain, vomiting",Typhoid
"abdominal_pain, toxic_look_(typhos), headache, chills, diarrhoea, nausea, fatigue, high_fever, vomiting, belly_pain",Typhoid
"diarrhoea, chills, headache, high_fever, toxic_look_(typhos), abdominal_pain, vomiting, belly_pain, nausea, fatigue",Typhoid
"yellowing_of_eyes, nausea, dark_urine, loss_of_appetite, joint_pain, vomiting, muscle_pain, diarrhoea, mild_fever, abdominal_pain, yellowish_skin",hepatitis A
"diarrhoea, loss_of_appetite, abdominal_pain, joint_pain, muscle_pain, mild_fever, yellowing_of_eyes, yellowish_skin, vomiting, dark_urine, nausea",hepatitis A
"nausea, loss_of_appetite, yellowing_of_eyes, muscle_pain, diarrhoea, yellowish_skin, dark_urine, mild_fever, abdominal_pain, joint_pain, vomiting",hepatitis A
"bladder_discomfort, continuous_feel_of_urine, foul_smell_of urine, burning_micturition",Urinary tract infection
"burning_micturition, foul_smell_of urine, continuous_feel_of_urine, bladder_discomfort",Urinary tract infection
"bladder_discomfort, foul_smell_of urine, burning_micturition, continuous_feel_of_urine",Urinary tract infection
"nausea, headache, palpitations, sweating, vomiting, blurred_and_distorted_vision, excessive_hunger, anxiety, fatigue, irritability, slurred_speech, drying_and_tingling_lips",Hypoglycemia
"drying_and_tingling_lips, anxiety, palpitations, excessive_hunger, blurred_and_distorted_vision, slurred_speech, nausea, headache, vomiting, fatigue, sweating, irritability",Hypoglycemia
"slurred_speech, fatigue, blurred_and_distorted_vision, sweating, vomiting, headache, irritability, palpitations, anxiety, drying_and_tingling_lips, nausea, excessive_hunger",Hypoglycemia
"skin_rash, joint_pain, small_dents_in_nails, inflammatory_nails, silver_like_dusting, skin_peeling",Psoriasis
"small_dents_in_nails, inflammatory_nails, skin_rash, silver_like_dusting, skin_peeling, joint_pain",Psoriasis
"skin_rash, inflammatory_nails, silver_like_dusting, skin_peeling, small_dents_in_nails, joint_pain",Psoriasis
"pus_filled_pimples, skin_rash, scurring, blackheads",Acne
"pus_filled_pimples, scurring, blackheads, skin_rash",Acne
"blackheads, scurring, skin_rash, pus_filled_pimples",Acne
"slurred_speech, drying_and_tingling_lips, excessive_hunger, fatigue, irritability, blurred_and_distorted_vision, vomiting, anxiety, sweating, headache, nausea, palpitations",Hypoglycemia
"sweating, drying_and_tingling_lips, palpitations, headache, fatigue, anxiety, slurred_speech, excessive_hunger, nausea, blurred_and_distorted_vision, irritability, vomiting",Hypoglycemia
"nausea, anxiety, sweating, fatigue, headache, slurred_speech, palpitations, excessive_hunger, vomiting, irritability, blurred_and_distorted_vision, drying_and_tingling_lips",Hypoglycemia
"loss_of_smell, cough, phlegm, runny_nose, fatigue, throat_irritation, continuous_sneezing, sinus_pressure, headache, high_fever, congestion, redness_of_eyes, muscle_pain, malaise, chills, chest_pain, swelled_lymph_nodes",Common Cold
"malaise, continuous_sneezing, swelled_lymph_nodes, sinus_pressure, high_fever, muscle_pain, cough, headache, fatigue, chest_pain, phlegm, throat_irritation, redness_of_eyes, loss_of_smell, runny_nose, chills, congestion",Common Cold
"headache, continuous_sneezing, chills, chest_pain, sinus_pressure, phlegm, congestion, fatigue, cough, swelled_lymph_nodes, high_fever, runny_nose, muscle_pain, redness_of_eyes, throat_irritation, loss_of_smell, malaise",Common Cold
"internal_itching, passage_of_gases, vomiting, loss_of_appetite, indigestion",Peptic ulcer disease
"loss_of_appetite, indigestion, passage_of_gases, internal_itching, vomiting",Peptic ulcer disease
"vomiting, passage_of_gases, loss_of_appetite, internal_itching, indigestion",Peptic ulcer disease
"vomiting, loss_of_appetite, nausea, abdominal_pain, itching, yellowing_of_eyes",Chronic cholestasis
"abdominal_pain, itching, vomiting, nausea, loss_of_appetite, yellowing_of_eyes",Chronic cholestasis
"nausea, abdominal_pain, itching, yellowing_of_eyes, loss_of_appetite, vomiting",Chronic cholestasis
"bruising, fatigue, obesity, prominent_veins_on_calf, swollen_legs, cramps, swollen_blood_vessels",Varicose veins
"swollen_legs, bruising, fatigue, swollen_blood_vessels, prominent_veins_on_calf, obesity, cramps",Varicose veins
"obesity, prominent_veins_on_calf, swollen_legs, cramps, swollen_blood_vessels, bruising, fatigue",Varicose veins
"sinus_pressure, throat_irritation, phlegm, fatigue, redness_of_eyes, cough, loss_of_smell, chills, malaise, chest_pain, runny_nose, headache, muscle_pain, congestion, continuous_sneezing, swelled_lymph_nodes",Common Cold
"muscle_pain, cough, swelled_lymph_nodes, phlegm, continuous_sneezing, redness_of_eyes, congestion, throat_irritation, loss_of_smell, runny_nose, chills, malaise, chest_pain, sinus_pressure, fatigue, headache",Common Cold
"headache, chills, muscle_pain, fatigue, cough, throat_irritation, runny_nose, malaise, continuous_sneezing, loss_of_smell, redness_of_eyes, phlegm, sinus_pressure, congestion, swelled_lymph_nodes, chest_pain",Common Cold
"nausea, joint_pain, diarrhoea, abdominal_pain, dark_urine, muscle_pain, yellowish_skin, mild_fever, yellowing_of_eyes, loss_of_appetite, vomiting",hepatitis A
"yellowing_of_eyes, dark_urine, mild_fever, diarrhoea, yellowish_skin, abdominal_pain, muscle_pain, loss_of_appetite, nausea, joint_pain, vomiting",hepatitis A
"mild_fever, vomiting, abdominal_pain, muscle_pain, nausea, yellowing_of_eyes, dark_urine, yellowish_skin, loss_of_appetite, joint_pain, diarrhoea",hepatitis A
"fatigue, abdominal_pain, joint_pain, loss_of_appetite, yellowing_of_eyes, yellowish_skin, vomiting, dark_urine, nausea",Hepatitis D
"yellowing_of_eyes, vomiting, nausea, loss_of_appetite, dark_urine, joint_pain, yellowish_skin, fatigue, abdominal_pain",Hepatitis D
"joint_pain, yellowish_skin, nausea, abdominal_pain, loss_of_appetite, dark_urine, vomiting, yellowing_of_eyes, fatigue",Hepatitis D
"foul_smell_of urine, bladder_discomfort, continuous_feel_of_urine, burning_micturition",Urinary tract infection
"burning_micturition, continuous_feel_of_urine, foul_smell_of urine, bladder_discomfort",Urinary tract infection
"burning_micturition, bladder_discomfort, continuous_feel_of_urine, foul_smell_of urine",Urinary tract infection
"burning_micturition, continuous_feel_of_urine, bladder_discomfort, foul_smell_of urine",Urinary tract infection
"bladder_discomfort, foul_smell_of urine, burning_micturition, continuous_feel_of_urine",Urinary tract infection
"bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine, burning_micturition",Urinary tract infection
"yellowish_skin, loss_of_appetite, nausea, family_history, fatigue",Hepatitis C
"fatigue, family_history, yellowish_skin, nausea, loss_of_appetite",Hepatitis C
"fatigue, family_history, nausea, yellowish_skin, loss_of_appetite",Hepatitis C
"altered_sensorium, vomiting, weakness_of_one_body_side",Paralysis (brain hemorrhage)
"vomiting, weakness_of_one_body_side, altered_sensorium",Paralysis (brain hemorrhage)
"weakness_of_one_body_side, vomiting, altered_sensorium",Paralysis (brain hemorrhage)
"abdominal_pain, nausea, loss_of_appetite, yellowing_of_eyes, joint_pain, fatigue, vomiting, yellowish_skin",Hepatitis D
"vomiting, yellowish_skin, fatigue, abdominal_pain, loss_of_appetite, nausea, yellowing_of_eyes, joint_pain",Hepatitis D
"nausea, yellowish_skin, vomiting, abdominal_pain, fatigue, yellowing_of_eyes, joint_pain, loss_of_appetite",Hepatitis D
"skin_rash, dischromic _patches, nodal_skin_eruptions, itching",Fungal infection
"dischromic _patches, itching, nodal_skin_eruptions, skin_rash",Fungal infection
"skin_rash, nodal_skin_eruptions, dischromic _patches, itching",Fungal infection
"chills, joint_pain, back_pain, fatigue, high_fever, muscle_pain, loss_of_appetite, red_spots_over_body, headache, vomiting, nausea, pain_behind_the_eyes, skin_rash",Dengue
"high_fever, loss_of_appetite, chills, nausea, muscle_pain, red_spots_over_body, back_pain, skin_rash, headache, joint_pain, pain_behind_the_eyes, vomiting, fatigue",Dengue
"high_fever, red_spots_over_body, vomiting, back_pain, muscle_pain, chills, fatigue, pain_behind_the_eyes, headache, nausea, loss_of_appetite, skin_rash, joint_pain",Dengue
"swollen_extremeties, mood_swings, fatigue, brittle_nails, dizziness, irritability, enlarged_thyroid, puffy_face_and_eyes, depression, cold_hands_and_feets, abnormal_menstruation, weight_gain, lethargy",Hypothyroidism
"cold_hands_and_feets, mood_swings, lethargy, puffy_face_and_eyes, swollen_extremeties, enlarged_thyroid, weight_gain, abnormal_menstruation, brittle_nails, fatigue, dizziness, irritability, depression",Hypothyroidism
"irritability, brittle_nails, cold_hands_and_feets, dizziness, abnormal_menstruation, fatigue, depression, enlarged_thyroid, swollen_extremeties, puffy_face_and_eyes, weight_gain, mood_swings, lethargy",Hypothyroidism
"breathlessness, malaise, high_fever, vomiting, chest_pain, fatigue, loss_of_appetite, sweating, weight_loss, swelled_lymph_nodes, yellowing_of_eyes, mild_fever, chills, cough, phlegm, blood_in_sputum",Tuberculosis
"cough, vomiting, yellowing_of_eyes, fatigue, chest_pain, malaise, chills, sweating, blood_in_sputum, loss_of_appetite, breathlessness, mild_fever, high_fever, weight_loss, swelled_lymph_nodes, phlegm",Tuberculosis
"loss_of_appetite, chest_pain, blood_in_sputum, yellowing_of_eyes, breathlessness, phlegm, cough, vomiting, high_fever, fatigue, swelled_lymph_nodes, weight_loss, malaise, chills, sweating, mild_fever",Tuberculosis
"cough, breathlessness, high_fever, family_history, fatigue, mucoid_sputum",Bronchial Asthma
"family_history, mucoid_sputum, high_fever, breathlessness, fatigue, cough",Bronchial Asthma
"breathlessness, family_history, fatigue, high_fever, mucoid_sputum, cough",Bronchial Asthma
"irritability, headache, depression, blurred_and_distorted_vision, excessive_hunger, visual_disturbances, stiff_neck, indigestion",Migraine
"indigestion, headache, visual_disturbances, irritability, excessive_hunger, depression, blurred_and_distorted_vision, stiff_neck",Migraine
"stiff_neck, visual_disturbances, blurred_and_distorted_vision, indigestion, excessive_hunger, headache, irritability, depression",Migraine
"skin_rash, scurring, blackheads",Acne
"blackheads, scurring, skin_rash",Acne
"scurring, blackheads, skin_rash",Acne
"sweating, breathlessness, vomiting, chest_pain",Heart attack
"vomiting, chest_pain, breathlessness, sweating",Heart attack
"vomiting, sweating, breathlessness, chest_pain",Heart attack
"sunken_eyes, vomiting, dehydration, diarrhoea",Gastroenteritis
"vomiting, diarrhoea, dehydration, sunken_eyes",Gastroenteritis
"dehydration, vomiting, sunken_eyes, diarrhoea",Gastroenteritis
"silver_like_dusting, skin_rash, skin_peeling, joint_pain, inflammatory_nails",Psoriasis
"silver_like_dusting, skin_peeling, inflammatory_nails, skin_rash, joint_pain",Psoriasis
"silver_like_dusting, inflammatory_nails, joint_pain, skin_peeling, skin_rash",Psoriasis
"sunken_eyes, dehydration, diarrhoea, vomiting",Gastroenteritis
"dehydration, diarrhoea, sunken_eyes, vomiting",Gastroenteritis
"sunken_eyes, vomiting, diarrhoea, dehydration",Gastroenteritis
"abdominal_pain, chills, vomiting, diarrhoea, belly_pain, nausea, high_fever, toxic_look_(typhos), headache, fatigue, constipation",Typhoid
"constipation, diarrhoea, toxic_look_(typhos), headache, abdominal_pain, fatigue, chills, vomiting, nausea, high_fever, belly_pain",Typhoid
"diarrhoea, fatigue, toxic_look_(typhos), chills, high_fever, vomiting, headache, belly_pain, abdominal_pain, constipation, nausea",Typhoid
"skin_rash, nodal_skin_eruptions, dischromic _patches",Fungal infection
"dischromic _patches, nodal_skin_eruptions, skin_rash",Fungal infection
"skin_rash, dischromic _patches, nodal_skin_eruptions",Fungal infection
"swelling_joints, neck_pain, painful_walking, hip_joint_pain, joint_pain",Osteoarthritis
"neck_pain, swelling_joints, painful_walking, joint_pain, hip_joint_pain",Osteoarthritis
"hip_joint_pain, neck_pain, painful_walking, swelling_joints, joint_pain",Osteoarthritis
"blood_in_sputum, swelled_lymph_nodes, weight_loss, chest_pain, mild_fever, chills, sweating, high_fever, malaise, breathlessness, loss_of_appetite, cough, vomiting, phlegm, yellowing_of_eyes, fatigue",Tuberculosis
"mild_fever, fatigue, breathlessness, sweating, yellowing_of_eyes, weight_loss, high_fever, malaise, cough, chest_pain, swelled_lymph_nodes, vomiting, blood_in_sputum, phlegm, chills, loss_of_appetite",Tuberculosis
"weight_loss, chills, high_fever, yellowing_of_eyes, cough, fatigue, mild_fever, malaise, chest_pain, vomiting, sweating, swelled_lymph_nodes, loss_of_appetite, breathlessness, blood_in_sputum, phlegm",Tuberculosis
"high_fever, coma, stomach_bleeding, vomiting, acute_liver_failure, nausea, dark_urine, yellowing_of_eyes, joint_pain, fatigue, abdominal_pain, yellowish_skin, loss_of_appetite",Hepatitis E
"joint_pain, high_fever, vomiting, acute_liver_failure, fatigue, yellowing_of_eyes, coma, stomach_bleeding, abdominal_pain, loss_of_appetite, dark_urine, nausea, yellowish_skin",Hepatitis E
"fatigue, yellowish_skin, stomach_bleeding, joint_pain, high_fever, nausea, coma, abdominal_pain, vomiting, dark_urine, loss_of_appetite, acute_liver_failure, yellowing_of_eyes",Hepatitis E
"continuous_feel_of_urine, burning_micturition, bladder_discomfort",Urinary tract infection
"continuous_feel_of_urine, bladder_discomfort, burning_micturition",Urinary tract infection
"burning_micturition, continuous_feel_of_urine, bladder_discomfort",Urinary tract infection
"yellowish_skin, vomiting, loss_of_appetite, nausea, abdominal_pain, yellowing_of_eyes, fatigue, dark_urine, joint_pain",Hepatitis D
"dark_urine, yellowish_skin, joint_pain, loss_of_appetite, yellowing_of_eyes, vomiting, fatigue, nausea, abdominal_pain",Hepatitis D
"yellowing_of_eyes, joint_pain, nausea, fatigue, abdominal_pain, dark_urine, vomiting, loss_of_appetite, yellowish_skin",Hepatitis D
"headache, loss_of_balance, vomiting, spinning_movements, unsteadiness, nausea",(vertigo) Paroymsal Positional Vertigo
"unsteadiness, vomiting, nausea, loss_of_balance, headache, spinning_movements",(vertigo) Paroymsal Positional Vertigo
