symptoms,disease
"yellowing_of_eyes, vomiting, high_fever, dark_urine, nausea, loss_of_appetite, coma, fatigue, acute_liver_failure, stomach_bleeding, joint_pain, yellowish_skin, abdominal_pain",hepatitis e
"loss_of_appetite, coma, nausea, yellowish_skin, abdominal_pain, vomiting, stomach_bleeding, dark_urine, high_fever, yellowing_of_eyes, joint_pain, acute_liver_failure, fatigue",hepatitis e
"pain, hospital visits, different eye drops",arrhythmia
"hospital visits, pain, different eye drops",arrhythmia
"hospital visits, different eye drops, pain",arrhythmia
"foul_smell_of urine, bladder_discomfort, continuous_feel_of_urine",urinary tract infection
"foul_smell_of urine, continuous_feel_of_urine, bladder_discomfort",urinary tract infection
"continuous_feel_of_urine, bladder_discomfort, foul_smell_of urine",urinary tract infection
"skin_rash, dischromic _patches, itching, nodal_skin_eruptions",fungal infection
"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",fungal infection
"itching, nodal_skin_eruptions, skin_rash, dischromic _patches",fungal infection
"fatigue, obesity, bruising, cramps, swollen_legs, prominent_veins_on_calf, swollen_blood_vessels",varicose veins
"prominent_veins_on_calf, cramps, bruising, fatigue, obesity, swollen_blood_vessels, swollen_legs",varicose veins
"bruising, prominent_veins_on_calf, obesity, fatigue, swollen_blood_vessels, cramps, swollen_legs",varicose veins
"facial droop, inability to talk, inability to walk",stroke
"inability to talk, facial droop, inability to walk",stroke
"inability to walk, inability to talk, facial droop",stroke
"frequent migraines, unintentional weight loss, extreme fatigue, unexplained hair loss, chronic constipation",celiac disease
"unintentional weight loss, unexplained hair loss, chronic constipation, frequent migraines, extreme fatigue",celiac disease
"frequent migraines, unintentional weight loss, unexplained hair loss, extreme fatigue, chronic constipation",celiac disease
"spotting_ urination, burning_micturition, skin_rash, stomach_pain",drug reaction
"skin_rash, burning_micturition, stomach_pain, spotting_ urination",drug reaction
"stomach_pain, skin_rash, burning_micturition, spotting_ urination",drug reaction
"vomiting, nausea, headache, unsteadiness, loss_of_balance",(vertigo) paroymsal positional vertigo
"loss_of_balance, vomiting, nausea, unsteadiness, headache",(vertigo) paroymsal positional vertigo
"loss_of_balance, unsteadiness, vomiting, headache, nausea",(vertigo) paroymsal positional vertigo
"diabetic foot ulcer, neuropathy in right foot, slow healing wounds",type 2 diabetes
"neuropathy in right foot, slow healing wounds, diabetic foot ulcer",type 2 diabetes
"slow healing wounds, neuropathy in right foot, diabetic foot ulcer",type 2 diabetes
"chills, watering_from_eyes, continuous_sneezing, shivering",allergy
"shivering, chills, watering_from_eyes, continuous_sneezing",allergy
"chills, continuous_sneezing, shivering, watering_from_eyes",allergy
"waking up frequently during the night, use of alcohol to aid sleep, reliance on stimulants or sedatives, relying on sleep medications, difficulty falling asleep",insomnia
"difficulty falling asleep, reliance on stimulants or sedatives, waking up frequently during the night, use of alcohol to aid sleep, relying on sleep medications",insomnia
"difficulty falling asleep, waking up frequently during the night, relying on sleep medications, use of alcohol to aid sleep, reliance on stimulants or sedatives",insomnia
"latex, strawberries, morphine",obesity
"strawberries, latex, morphine",obesity
"strawberries, morphine, latex",obesity
"requires excessive sleep (10 hours or more), interrelated condition: polycystic ovary syndrome (pcos), resistant to psychiatric medication, interrelated condition: lupus, easily exhausted, low energy",chronic fatigue syndrome
"requires excessive sleep (10 hours or more), easily exhausted, interrelated condition: lupus, resistant to psychiatric medication, low energy, interrelated condition: polycystic ovary syndrome (pcos)",chronic fatigue syndrome
"easily exhausted, interrelated condition: polycystic ovary syndrome (pcos), resistant to psychiatric medication, requires excessive sleep (10 hours or more), interrelated condition: lupus, low energy",chronic fatigue syndrome
"nausea, vomiting",jaundice
"vomiting, nausea",jaundice
"rashes, sickness, blisters, vomit",chronic fatigue syndrome
"rashes, blisters, sickness, vomit",chronic fatigue syndrome
"sickness, blisters, vomit, rashes",chronic fatigue syndrome
"fluctuating blood sugar levels, cortisol-induced sugar spikes, insulin resistance",diabetes
"fluctuating blood sugar levels, insulin resistance, cortisol-induced sugar spikes",diabetes
"insulin resistance, cortisol-induced sugar spikes, fluctuating blood sugar levels",diabetes
"intense song in head, pressure at base of skull",migraine
"pressure at base of skull, intense song in head",migraine
"tingling sensation in limbs, muscle weakness in limbs, dizziness or lightheadedness, heart palpitations, feeling of chest tightness",anxiety
"tingling sensation in limbs, muscle weakness in limbs, dizziness or lightheadedness, feeling of chest tightness, heart palpitations",anxiety
"muscle weakness in limbs, heart palpitations, dizziness or lightheadedness, feeling of chest tightness, tingling sensation in limbs",anxiety
"nodal_skin_eruptions, itching, dischromic _patches",fungal infection
"itching, dischromic _patches, nodal_skin_eruptions",fungal infection
"nodal_skin_eruptions, dischromic _patches, itching",fungal infection
"swollen_legs, cramps, prominent_veins_on_calf, swollen_blood_vessels, obesity, bruising, fatigue",varicose veins
"fatigue, prominent_veins_on_calf, swollen_blood_vessels, bruising, obesity, cramps, swollen_legs",varicose veins
"swollen_legs, bruising, cramps, fatigue, prominent_veins_on_calf, swollen_blood_vessels, obesity",varicose veins
"vomiting, not eating, lethargic, yellow gums, yellow eyes",jaundice
"yellow gums, yellow eyes, vomiting, lethargic, not eating",jaundice
"lethargic, vomiting, yellow gums, yellow eyes, not eating",jaundice
"red_spots_over_body, loss_of_appetite, fatigue, malaise, swelled_lymph_nodes, skin_rash, lethargy, headache, itching, mild_fever, high_fever",chicken pox
"red_spots_over_body, malaise, headache, loss_of_appetite, skin_rash, fatigue, lethargy, swelled_lymph_nodes, mild_fever, high_fever, itching",chicken pox
"loss_of_appetite, skin_rash, swelled_lymph_nodes, headache, itching, red_spots_over_body, lethargy, fatigue, mild_fever, malaise, high_fever",chicken pox
"difficulties in coping with everyday tasks associated with substance use, impaired memory and recall due to substance use, depression related to substance use",substance abuse
"depression related to substance use, difficulties in coping with everyday tasks associated with substance use, impaired memory and recall due to substance use",substance abuse
"impaired memory and recall due to substance use, difficulties in coping with everyday tasks associated with substance use, depression related to substance use",substance abuse
"nausea, abdominal_pain, loss_of_appetite, yellowish_skin, yellowing_of_eyes, dark_urine, vomiting, joint_pain",hepatitis d
"nausea, joint_pain, abdominal_pain, loss_of_appetite, vomiting, yellowing_of_eyes, dark_urine, yellowish_skin",hepatitis d
"joint_pain, dark_urine, nausea, abdominal_pain, loss_of_appetite, yellowish_skin, yellowing_of_eyes, vomiting",hepatitis d
"persistent fatigue not alleviated by rest, significant reduction in ability to perform daily activities, prolonged episodes of fatigue lasting months to years",chronic fatigue syndrome
"persistent fatigue not alleviated by rest, prolonged episodes of fatigue lasting months to years, significant reduction in ability to perform daily activities",chronic fatigue syndrome
"prolonged episodes of fatigue lasting months to years, persistent fatigue not alleviated by rest, significant reduction in ability to perform daily activities",chronic fatigue syndrome
"mucoid_sputum, breathlessness, high_fever, cough, fatigue, family_history",bronchial asthma
"mucoid_sputum, family_history, high_fever, fatigue, cough, breathlessness",bronchial asthma
"mucoid_sputum, family_history, fatigue, breathlessness, cough, high_fever",bronchial asthma
"vomiting, dehydration, diarrhoea, sunken_eyes",gastroenteritis
"sunken_eyes, diarrhoea, dehydration, vomiting",gastroenteritis
"vomiting, sunken_eyes, diarrhoea, dehydration",gastroenteritis
"heightened sense of smell, smelling ammonia, smelling burning rubber",migraine
"heightened sense of smell, smelling burning rubber, smelling ammonia",migraine
"smelling ammonia, smelling burning rubber, heightened sense of smell",migraine
"headache, unsteadiness, vomiting, loss_of_balance, spinning_movements, nausea",(vertigo) paroymsal positional vertigo
"unsteadiness, vomiting, loss_of_balance, nausea, headache, spinning_movements",(vertigo) paroymsal positional vertigo
"unsteadiness, headache, vomiting, nausea, spinning_movements, loss_of_balance",(vertigo) paroymsal positional vertigo
"increased anxiety related to substance use, compulsive substance use, frequent self-doubt about ability to quit, confusion regarding consequences of use",substance abuse
"compulsive substance use, increased anxiety related to substance use, confusion regarding consequences of use, frequent self-doubt about ability to quit",substance abuse
"frequent self-doubt about ability to quit, compulsive substance use, increased anxiety related to substance use, confusion regarding consequences of use",substance abuse
"irregular heartbeat, rapid heartbeat, heart palpitations",arrhythmia
"heart palpitations, irregular heartbeat, rapid heartbeat",arrhythmia
"rapid heartbeat, irregular heartbeat, heart palpitations",arrhythmia
"itching, burning_micturition, skin_rash, stomach_pain, spotting_ urination",drug reaction
"spotting_ urination, stomach_pain, skin_rash, burning_micturition, itching",drug reaction
"spotting_ urination, burning_micturition, stomach_pain, skin_rash, itching",drug reaction
"agoraphobia, rage, age regression, monologuing/talking to yourself to regulate, weird kinks",ptsd
"agoraphobia, monologuing/talking to yourself to regulate, weird kinks, rage, age regression",ptsd
"rage, agoraphobia, monologuing/talking to yourself to regulate, weird kinks, age regression",ptsd
"irritability, fatigue, frequent urination, balanitis, blurry vision",diabetes
"fatigue, balanitis, frequent urination, irritability, blurry vision",diabetes
"balanitis, frequent urination, blurry vision, fatigue, irritability",diabetes
"unsteady walking, spinning sensation",(vertigo) paroymsal positional vertigo
"spinning sensation, unsteady walking",(vertigo) paroymsal positional vertigo
"muscle_wasting, patches_in_throat, extra_marital_contacts",aids
"extra_marital_contacts, patches_in_throat, muscle_wasting",aids
"patches_in_throat, muscle_wasting, extra_marital_contacts",aids
"feeling of drowning in fluid, severe shortness of breath, high respiration rate",pneumonia
"severe shortness of breath, high respiration rate, feeling of drowning in fluid",pneumonia
"high respiration rate, feeling of drowning in fluid, severe shortness of breath",pneumonia
"increased risk of infections such as utis, tendency towards fungal infections, itchy skin, nail changes or pitting, scaly skin patches, potential liver complications due to medication, chronic skin inflammation, psoriatic arthritis symptoms, scalp plaques, red, joint pain or stiffness",psoriasis
"increased risk of infections such as utis, red, potential liver complications due to medication, nail changes or pitting, tendency towards fungal infections, joint pain or stiffness, itchy skin, scalp plaques, chronic skin inflammation, scaly skin patches, psoriatic arthritis symptoms",psoriasis
"joint pain or stiffness, scaly skin patches, potential liver complications due to medication, scalp plaques, tendency towards fungal infections, itchy skin, psoriatic arthritis symptoms, chronic skin inflammation, nail changes or pitting, increased risk of infections such as utis, red",psoriasis
"frequent hangovers, drug addiction, sex addiction, alcohol abuse",substance abuse
"alcohol abuse, sex addiction, frequent hangovers, drug addiction",substance abuse
"sex addiction, frequent hangovers, drug addiction, alcohol abuse",substance abuse
"nausea, blurred_and_distorted_vision, anxiety, sweating, slurred_speech, headache, palpitations, excessive_hunger, vomiting, irritability, drying_and_tingling_lips, fatigue",hypoglycemia
"anxiety, slurred_speech, headache, fatigue, palpitations, sweating, drying_and_tingling_lips, nausea, blurred_and_distorted_vision, excessive_hunger, irritability, vomiting",hypoglycemia
"palpitations, nausea, vomiting, headache, drying_and_tingling_lips, fatigue, irritability, excessive_hunger, anxiety, slurred_speech, sweating, blurred_and_distorted_vision",hypoglycemia
"trigeminal nerve pain, throat discomfort, teeth ache on left side",migraine
"trigeminal nerve pain, teeth ache on left side, throat discomfort",migraine
"throat discomfort, trigeminal nerve pain, teeth ache on left side",migraine
"fatigue, nausea, loss_of_appetite, dark_urine, yellowing_of_eyes, joint_pain, vomiting, yellowish_skin",hepatitis d
"nausea, loss_of_appetite, dark_urine, fatigue, joint_pain, vomiting, yellowing_of_eyes, yellowish_skin",hepatitis d
"vomiting, fatigue, yellowing_of_eyes, dark_urine, loss_of_appetite, yellowish_skin, nausea, joint_pain",hepatitis d
"headache, vomiting, altered_sensorium, weakness_of_one_body_side",paralysis (brain hemorrhage)
"weakness_of_one_body_side, altered_sensorium, vomiting, headache",paralysis (brain hemorrhage)
"headache, altered_sensorium, vomiting, weakness_of_one_body_side",paralysis (brain hemorrhage)
"back_pain, weakness_in_limbs, neck_pain, loss_of_balance, dizziness",cervical spondylosis
"loss_of_balance, back_pain, neck_pain, weakness_in_limbs, dizziness",cervical spondylosis
"neck_pain, weakness_in_limbs, dizziness, loss_of_balance, back_pain",cervical spondylosis
"complicated emotions, struggle with kindness and selflessness, understanding without full knowledge of past, lasting impact of abuse",stroke
"complicated emotions, understanding without full knowledge of past, lasting impact of abuse, struggle with kindness and selflessness",stroke
"lasting impact of abuse, complicated emotions, struggle with kindness and selflessness, understanding without full knowledge of past",stroke
"abdominal_pain, vomiting, history_of_alcohol_consumption, yellowish_skin, fluid_overload, distention_of_abdomen",alcoholic hepatitis
"fluid_overload, yellowish_skin, abdominal_pain, history_of_alcohol_consumption, vomiting, distention_of_abdomen",alcoholic hepatitis
"vomiting, distention_of_abdomen, abdominal_pain, yellowish_skin, fluid_overload, history_of_alcohol_consumption",alcoholic hepatitis
"dyspnea (difficulty breathing), mild fever, nausea, chest pains, finger numbness, cognitive issues such as memory problems, muscle and joint pain, episodes of extreme fatigue, slurred speech, sleep disturbances, leg numbness",multiple sclerosis
"mild fever, chest pains, finger numbness, leg numbness, slurred speech, cognitive issues such as memory problems, sleep disturbances, episodes of extreme fatigue, muscle and joint pain, nausea, dyspnea (difficulty breathing)",multiple sclerosis
"sleep disturbances, cognitive issues such as memory problems, leg numbness, muscle and joint pain, dyspnea (difficulty breathing), episodes of extreme fatigue, mild fever, slurred speech, nausea, chest pains, finger numbness",multiple sclerosis
"faintness, abdominal distension",peptic ulcer disease
"abdominal distension, faintness",peptic ulcer disease
"joint pain, vomiting",hepatitis b
"vomiting, joint pain",hepatitis b
"red inflamed areas, white scaly buildup",psoriasis
"white scaly buildup, red inflamed areas",psoriasis
"frequent skin irritation, blistering with yellow crusts",impetigo
"blistering with yellow crusts, frequent skin irritation",impetigo
"recurrent distressing dreams related to the traumatic event, intrusive memories, severe emotional distress in response to reminders of the traumatic event, flashbacks or reliving the traumatic event, negative thoughts and feelings about oneself or others",ptsd
"severe emotional distress in response to reminders of the traumatic event, intrusive memories, flashbacks or reliving the traumatic event, negative thoughts and feelings about oneself or others, recurrent distressing dreams related to the traumatic event",ptsd
"recurrent distressing dreams related to the traumatic event, severe emotional distress in response to reminders of the traumatic event, flashbacks or reliving the traumatic event, negative thoughts and feelings about oneself or others, intrusive memories",ptsd
"red_spots_over_body, vomiting, headache, joint_pain, chills, pain_behind_the_eyes, skin_rash, back_pain, malaise, loss_of_appetite, nausea, fatigue, muscle_pain",dengue
"skin_rash, vomiting, headache, back_pain, pain_behind_the_eyes, fatigue, loss_of_appetite, joint_pain, nausea, red_spots_over_body, chills, malaise, muscle_pain",dengue
"back_pain, red_spots_over_body, loss_of_appetite, nausea, headache, joint_pain, muscle_pain, malaise, chills, vomiting, fatigue, pain_behind_the_eyes, skin_rash",dengue
"cold_hands_and_feets, mood_swings, fatigue, abnormal_menstruation, weight_gain, lethargy, brittle_nails, swollen_extremeties, puffy_face_and_eyes, enlarged_thyroid, dizziness, irritability, depression",hypothyroidism
"cold_hands_and_feets, brittle_nails, irritability, fatigue, lethargy, enlarged_thyroid, dizziness, mood_swings, swollen_extremeties, weight_gain, abnormal_menstruation, puffy_face_and_eyes, depression",hypothyroidism
"abnormal_menstruation, brittle_nails, dizziness, cold_hands_and_feets, mood_swings, puffy_face_and_eyes, lethargy, swollen_extremeties, fatigue, weight_gain, depression, enlarged_thyroid, irritability",hypothyroidism
"nausea, vomiting, loss_of_appetite, joint_pain, fatigue, dark_urine, yellowish_skin, abdominal_pain",hepatitis d
"dark_urine, joint_pain, yellowish_skin, vomiting, abdominal_pain, nausea, loss_of_appetite, fatigue",hepatitis d
"loss_of_appetite, nausea, dark_urine, joint_pain, vomiting, yellowish_skin, abdominal_pain, fatigue",hepatitis d
"psychosis, feelings of hopelessness, feelings of being hated, distrust in others, paranoia, black and white thinking",depression
"feelings of being hated, feelings of hopelessness, distrust in others, paranoia, psychosis, black and white thinking",depression
"paranoia, feelings of hopelessness, distrust in others, feelings of being hated, black and white thinking, psychosis",depression
"yellowish_skin, yellowing_of_eyes, family_history, fatigue, loss_of_appetite, nausea",hepatitis c
"family_history, yellowish_skin, fatigue, loss_of_appetite, yellowing_of_eyes, nausea",hepatitis c
"nausea, yellowish_skin, yellowing_of_eyes, fatigue, family_history, loss_of_appetite",hepatitis c
"watering_from_eyes, chills, continuous_sneezing, shivering",allergy
"watering_from_eyes, shivering, chills, continuous_sneezing",allergy
"chills, continuous_sneezing, shivering, watering_from_eyes",allergy
"throbbing pain behind carotid artery, throbbing pain in jaw, throbbing pain in ear",migraine
"throbbing pain in jaw, throbbing pain in ear, throbbing pain behind carotid artery",migraine
"throbbing pain in ear, throbbing pain in jaw, throbbing pain behind carotid artery",migraine
"persistent fatigue, feeling unwell, symptom relief with antihistamines",chronic fatigue syndrome
"symptom relief with antihistamines, persistent fatigue, feeling unwell",chronic fatigue syndrome
"symptom relief with antihistamines, feeling unwell, persistent fatigue",chronic fatigue syndrome
"chronic anemia, violent bleeding, overwhelming cramps",multiple sclerosis
"violent bleeding, overwhelming cramps, chronic anemia",multiple sclerosis
"chronic anemia, overwhelming cramps, violent bleeding",multiple sclerosis
"insomnia, sense of impending doom, racing thoughts, frequent urination",anxiety
"sense of impending doom, frequent urination, racing thoughts, insomnia",anxiety
"insomnia, racing thoughts, sense of impending doom, frequent urination",anxiety
"teary eyes, excessive yawning, stuffy nose",migraine
"stuffy nose, excessive yawning, teary eyes",migraine
"stuffy nose, teary eyes, excessive yawning",migraine
"chaotic personal life or difficulty maintaining routine, impulsivity leading to risky behavior, periods of excessive excitement or energy followed by severe fatigue or burnout, social withdrawal or difficulties in relationships, inability to manage adult responsibilities such as work or family duties",substance abuse
"inability to manage adult responsibilities such as work or family duties, periods of excessive excitement or energy followed by severe fatigue or burnout, chaotic personal life or difficulty maintaining routine, social withdrawal or difficulties in relationships, impulsivity leading to risky behavior",substance abuse
"inability to manage adult responsibilities such as work or family duties, social withdrawal or difficulties in relationships, periods of excessive excitement or energy followed by severe fatigue or burnout, impulsivity leading to risky behavior, chaotic personal life or difficulty maintaining routine",substance abuse
"pain down the fronts of the legs, sciatica, high white blood cell count, dull burning pain in the mouth, high protein levels, high neutrophil count, swollen face",endometriosis
"high neutrophil count, dull burning pain in the mouth, high protein levels, sciatica, pain down the fronts of the legs, high white blood cell count, swollen face",endometriosis
"high protein levels, high neutrophil count, high white blood cell count, pain down the fronts of the legs, swollen face, dull burning pain in the mouth, sciatica",endometriosis
"excessive gas, leg cramping, panic episodes, anxiety, irregular bowel movements, brain fog, abdominal pain",celiac disease
"leg cramping, abdominal pain, brain fog, irregular bowel movements, anxiety, excessive gas, panic episodes",celiac disease
"brain fog, panic episodes, anxiety, excessive gas, irregular bowel movements, leg cramping, abdominal pain",celiac disease
"excessive_hunger, irritability, restlessness, fast_heart_rate, muscle_weakness, diarrhoea, mood_swings, weight_loss, abnormal_menstruation, sweating",hyperthyroidism
"irritability, abnormal_menstruation, mood_swings, restlessness, excessive_hunger, weight_loss, muscle_weakness, diarrhoea, fast_heart_rate, sweating",hyperthyroidism
"irritability, abnormal_menstruation, restlessness, muscle_weakness, fast_heart_rate, excessive_hunger, diarrhoea, weight_loss, sweating, mood_swings",hyperthyroidism
"grating sensation, joint tenderness",osteoarthritis
"joint tenderness, grating sensation",osteoarthritis
"all over achy feeling, visual disturbances, stomach issues, tiredness",migraine
"stomach issues, visual disturbances, all over achy feeling, tiredness",migraine
"all over achy feeling, visual disturbances, tiredness, stomach issues",migraine
"scaly skin, dry, rash on leg, persistent rash",psoriasis
"rash on leg, scaly skin, persistent rash, dry",psoriasis
"dry, rash on leg, persistent rash, scaly skin",psoriasis
"family_history, yellowish_skin, loss_of_appetite, nausea, fatigue, yellowing_of_eyes",hepatitis c
"yellowish_skin, fatigue, yellowing_of_eyes, family_history, nausea, loss_of_appetite",hepatitis c
"yellowing_of_eyes, fatigue, yellowish_skin, nausea, family_history, loss_of_appetite",hepatitis c
"constant thirst, frequent urination, dry mouth",diabetes
"frequent urination, constant thirst, dry mouth",diabetes
"frequent urination, dry mouth, constant thirst",diabetes
"yellowing_of_eyes, malaise, receiving_unsterile_injections, receiving_blood_transfusion, abdominal_pain, yellow_urine, itching, fatigue, loss_of_appetite, yellowish_skin, lethargy, dark_urine",hepatitis b
"yellowish_skin, fatigue, abdominal_pain, malaise, itching, loss_of_appetite, receiving_blood_transfusion, receiving_unsterile_injections, yellow_urine, lethargy, dark_urine, yellowing_of_eyes",hepatitis b
"yellowing_of_eyes, fatigue, yellowish_skin, dark_urine, loss_of_appetite, itching, receiving_unsterile_injections, receiving_blood_transfusion, lethargy, malaise, abdominal_pain, yellow_urine",hepatitis b
"irritability, palpitations, fatigue, excessive_hunger, blurred_and_distorted_vision, sweating, drying_and_tingling_lips, slurred_speech, anxiety, headache, vomiting",hypoglycemia
"fatigue, anxiety, slurred_speech, excessive_hunger, drying_and_tingling_lips, vomiting, palpitations, headache, sweating, blurred_and_distorted_vision, irritability",hypoglycemia
"excessive_hunger, irritability, sweating, vomiting, drying_and_tingling_lips, palpitations, fatigue, slurred_speech, blurred_and_distorted_vision, headache, anxiety",hypoglycemia
"plantar fasciitis, depression, anxiety, mental fog, fatigue, eczema around eyes, severe fatigue, brittle hair",hypothyroidism
"severe fatigue, depression, fatigue, plantar fasciitis, mental fog, anxiety, brittle hair, eczema around eyes",hypothyroidism
"plantar fasciitis, eczema around eyes, fatigue, depression, mental fog, anxiety, severe fatigue, brittle hair",hypothyroidism
"persistent fatigue, frequent hot flashes, memory problems or cognitive decline, unexplained weight gain",menopausal syndrome
"memory problems or cognitive decline, persistent fatigue, unexplained weight gain, frequent hot flashes",menopausal syndrome
"memory problems or cognitive decline, frequent hot flashes, persistent fatigue, unexplained weight gain",menopausal syndrome
"discomfort during defecation, rectal bleeding after bowel movement",dimorphic hemmorhoids(piles)
"rectal bleeding after bowel movement, discomfort during defecation",dimorphic hemmorhoids(piles)
"severe pelvic pain, formation of scar tissue and adhesions, bowel obstruction due to endometrial tissue",endometriosis
"bowel obstruction due to endometrial tissue, formation of scar tissue and adhesions, severe pelvic pain",endometriosis
"severe pelvic pain, bowel obstruction due to endometrial tissue, formation of scar tissue and adhesions",endometriosis
"increased insulin requirements or development of insulin dependency, polydipsia (excessive thirst), unintentional weight loss",type 2 diabetes
"unintentional weight loss, increased insulin requirements or development of insulin dependency, polydipsia (excessive thirst)",type 2 diabetes
"unintentional weight loss, polydipsia (excessive thirst), increased insulin requirements or development of insulin dependency",type 2 diabetes
"acidity, blurred_and_distorted_vision, irritability, indigestion, excessive_hunger, visual_disturbances, stiff_neck, headache",migraine
"blurred_and_distorted_vision, excessive_hunger, visual_disturbances, irritability, headache, acidity, stiff_neck, indigestion",migraine
"blurred_and_distorted_vision, acidity, irritability, headache, indigestion, visual_disturbances, excessive_hunger, stiff_neck",migraine
"joint_pain, loss_of_appetite, nausea, coma, yellowing_of_eyes, high_fever, yellowish_skin, vomiting, acute_liver_failure, abdominal_pain, fatigue, stomach_bleeding, dark_urine",hepatitis e
"acute_liver_failure, nausea, loss_of_appetite, coma, dark_urine, abdominal_pain, yellowing_of_eyes, stomach_bleeding, vomiting, joint_pain, yellowish_skin, fatigue, high_fever",hepatitis e
"nausea, dark_urine, yellowing_of_eyes, vomiting, coma, yellowish_skin, abdominal_pain, high_fever, stomach_bleeding, joint_pain, fatigue, acute_liver_failure, loss_of_appetite",hepatitis e
"scurring, skin_rash, blackheads",acne
"blackheads, skin_rash, scurring",acne
"skin_rash, blackheads, scurring",acne
"cough, high_fever, mucoid_sputum, fatigue, family_history, breathlessness",bronchial asthma
"fatigue, high_fever, cough, breathlessness, mucoid_sputum, family_history",bronchial asthma
"breathlessness, fatigue, high_fever, family_history, cough, mucoid_sputum",bronchial asthma
"sensation of something stuck in neck and under left collarbone, feeling of pressure, weakness in legs",heart attack
"feeling of pressure, weakness in legs, sensation of something stuck in neck and under left collarbone",heart attack
"weakness in legs, sensation of something stuck in neck and under left collarbone, feeling of pressure",heart attack
"dark urine, jaundice",hepatitis a
"jaundice, dark urine",hepatitis a
"passage_of_gases, abdominal_pain, internal_itching, indigestion, vomiting, loss_of_appetite",peptic ulcer disease
"passage_of_gases, abdominal_pain, indigestion, vomiting, loss_of_appetite, internal_itching",peptic ulcer disease
"vomiting, passage_of_gases, abdominal_pain, internal_itching, loss_of_appetite, indigestion",peptic ulcer disease
"indigestion, blurred_and_distorted_vision, visual_disturbances, headache, irritability, depression, excessive_hunger, acidity, stiff_neck",migraine
"depression, indigestion, excessive_hunger, visual_disturbances, acidity, headache, blurred_and_distorted_vision, irritability, stiff_neck",migraine
"indigestion, acidity, irritability, depression, excessive_hunger, blurred_and_distorted_vision, stiff_neck, headache, visual_disturbances",migraine
"dry mouth, frequent urination, increased thirst",diabetes
"dry mouth, increased thirst, frequent urination",diabetes
"increased thirst, dry mouth, frequent urination",diabetes
"irregular periods, fatigue, feeling dismissed or not taken seriously by medical providers",menopausal syndrome
"feeling dismissed or not taken seriously by medical providers, irregular periods, fatigue",menopausal syndrome
"feeling dismissed or not taken seriously by medical providers, fatigue, irregular periods",menopausal syndrome
"neck pain, numbness in one hand, facial numbness on one side, neck muscle spasms",multiple sclerosis
"neck muscle spasms, facial numbness on one side, numbness in one hand, neck pain",multiple sclerosis
"facial numbness on one side, neck pain, neck muscle spasms, numbness in one hand",multiple sclerosis
"eyes watering, eyes swelling almost shut",allergy
"eyes swelling almost shut, eyes watering",allergy
"unexplained weight changes, persistent fatigue",hepatitis d
"persistent fatigue, unexplained weight changes",hepatitis d
"passage_of_gases, internal_itching, loss_of_appetite, vomiting, abdominal_pain",peptic ulcer disease
"passage_of_gases, loss_of_appetite, internal_itching, abdominal_pain, vomiting",peptic ulcer disease
"passage_of_gases, abdominal_pain, loss_of_appetite, vomiting, internal_itching",peptic ulcer disease
"sweating, abdominal discomfort, panic attacks, pins and needles",hyperthyroidism
"abdominal discomfort, sweating, pins and needles, panic attacks",hyperthyroidism
"panic attacks, pins and needles, abdominal discomfort, sweating",hyperthyroidism
"cough with sputum, high temperature at night",tuberculosis
"high temperature at night, cough with sputum",tuberculosis
"joint_pain, painful_walking, neck_pain, hip_joint_pain, swelling_joints, knee_pain",osteoarthritis
"knee_pain, swelling_joints, painful_walking, joint_pain, neck_pain, hip_joint_pain",osteoarthritis
"knee_pain, joint_pain, hip_joint_pain, swelling_joints, painful_walking, neck_pain",osteoarthritis
"depressed mood, decreased libido, sexual dysfunction, generalized anxiety",multiple sclerosis
"sexual dysfunction, generalized anxiety, decreased libido, depressed mood",multiple sclerosis
"depressed mood, decreased libido, generalized anxiety, sexual dysfunction",multiple sclerosis
"scurring, skin_rash, blackheads",acne
"blackheads, skin_rash, scurring",acne
"skin_rash, blackheads, scurring",acne
"itchy skin, vaginal dryness, bladder irritation",menopausal syndrome
"bladder irritation, vaginal dryness, itchy skin",menopausal syndrome
"vaginal dryness, itchy skin, bladder irritation",menopausal syndrome
"abdominal_pain, nausea, yellowing_of_eyes, vomiting, yellowish_skin, loss_of_appetite, itching",chronic cholestasis
"loss_of_appetite, vomiting, yellowish_skin, itching, nausea, yellowing_of_eyes, abdominal_pain",chronic cholestasis
"nausea, loss_of_appetite, abdominal_pain, yellowish_skin, vomiting, yellowing_of_eyes, itching",chronic cholestasis
"chest_pain, cough, stomach_pain, ulcers_on_tongue, vomiting, acidity",gerd
"stomach_pain, ulcers_on_tongue, cough, chest_pain, vomiting, acidity",gerd
"ulcers_on_tongue, acidity, chest_pain, vomiting, stomach_pain, cough",gerd
"anxiety exacerbating symptoms, red patches on the skin, painful skin lesions, stress-induced skin flare-ups",psoriasis
"stress-induced skin flare-ups, red patches on the skin, anxiety exacerbating symptoms, painful skin lesions",psoriasis
"anxiety exacerbating symptoms, painful skin lesions, stress-induced skin flare-ups, red patches on the skin",psoriasis
"intense headache, phonophobia",migraine
"phonophobia, intense headache",migraine
"passage_of_gases, abdominal_pain, indigestion, vomiting, loss_of_appetite, internal_itching",peptic ulcer disease
"vomiting, internal_itching, loss_of_appetite, indigestion, abdominal_pain, passage_of_gases",peptic ulcer disease
